device build rows dataset relpages workers wm eic ioc readahead matches distinct run caching optimal timing
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 128 10000 1 uncached bitmapscan 1330.918
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 256 10000 1 uncached bitmapscan 2288.628
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 512 10000 1 uncached bitmapscan 3474.091
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 1024 10000 1 uncached bitmapscan 3110.256
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 2048 10000 1 uncached bitmapscan 218.003
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 4048 10000 1 uncached bitmapscan 226.170
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 6048 10000 1 uncached seqscan 213.971
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 8048 10000 1 uncached seqscan 229.011
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 10048 10000 1 uncached seqscan 223.847
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 2 10000 1 uncached bitmapscan 38.696
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 4 10000 1 uncached bitmapscan 64.633
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 8 10000 1 uncached bitmapscan 119.049
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 16 10000 1 uncached bitmapscan 200.452
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 32 10000 1 uncached bitmapscan 371.704
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 64 10000 1 uncached bitmapscan 691.440
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 128 10000 1 uncached bitmapscan 1351.981
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 256 10000 1 uncached bitmapscan 2294.559
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 512 10000 1 uncached bitmapscan 3515.033
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 1024 10000 1 uncached bitmapscan 2675.235
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 2048 10000 1 uncached bitmapscan 224.144
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 4048 10000 1 uncached bitmapscan 217.513
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 6048 10000 1 uncached seqscan 226.473
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 8048 10000 1 uncached seqscan 228.594
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 1 8192 10048 10000 1 uncached seqscan 221.789
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 2 10000 1 uncached bitmapscan 35.907
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 4 10000 1 uncached bitmapscan 61.710
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 8 10000 1 uncached bitmapscan 110.371
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 16 10000 1 uncached bitmapscan 202.671
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 32 10000 1 uncached bitmapscan 374.361
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 64 10000 1 uncached bitmapscan 735.271
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 128 10000 1 uncached bitmapscan 1342.283
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 256 10000 1 uncached bitmapscan 2273.799
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 512 10000 1 uncached bitmapscan 3544.451
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 1024 10000 1 uncached bitmapscan 1997.501
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 2048 10000 1 uncached bitmapscan 222.788
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 4048 10000 1 uncached bitmapscan 224.103
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 6048 10000 1 uncached seqscan 235.360
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 8048 10000 1 uncached seqscan 226.214
raid-sata master 1000000 uniform 41667 0 4096 1 32 8192 10048 10000 1 uncached seqscan 230.320
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 2 10000 1 uncached bitmapscan 35.770
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 4 10000 1 uncached bitmapscan 51.921
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 8 10000 1 uncached bitmapscan 107.380
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 16 10000 1 uncached bitmapscan 190.111
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 32 10000 1 uncached bitmapscan 350.431
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 64 10000 1 uncached bitmapscan 641.215
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 128 10000 1 uncached bitmapscan 1076.713
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 256 10000 1 uncached bitmapscan 1537.757
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 512 10000 1 uncached bitmapscan 1693.754
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 1024 10000 1 uncached bitmapscan 1248.218
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 2048 10000 1 uncached bitmapscan 210.218
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 4048 10000 1 uncached bitmapscan 212.354
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 6048 10000 1 uncached seqscan 223.047
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 8048 10000 1 uncached seqscan 237.851
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 32 8192 10048 10000 1 uncached seqscan 223.996
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 2 10000 1 uncached bitmapscan 5.602
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 4 10000 1 uncached bitmapscan 7.133
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 8 10000 1 uncached bitmapscan 11.502
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 16 10000 1 uncached bitmapscan 21.254
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 32 10000 1 uncached bitmapscan 43.315
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 64 10000 1 uncached bitmapscan 91.328
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 128 10000 1 uncached bitmapscan 187.195
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 256 10000 1 uncached bitmapscan 361.582
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 512 10000 1 uncached bitmapscan 593.620
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 1024 10000 1 uncached bitmapscan 542.953
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 2048 10000 1 uncached bitmapscan 210.915
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 4048 10000 1 uncached bitmapscan 867.855
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 6048 10000 1 uncached seqscan 827.816
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 8048 10000 1 uncached seqscan 854.044
raid-sata master 1000000 uniform 41667 0 4096 16 16 8192 10048 10000 1 uncached seqscan 840.576
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 2 10000 1 uncached bitmapscan 4.739
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 4 10000 1 uncached bitmapscan 7.311
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 8 10000 1 uncached bitmapscan 12.049
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 16 10000 1 uncached bitmapscan 24.695
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 32 10000 1 uncached bitmapscan 44.413
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 64 10000 1 uncached bitmapscan 84.791
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 128 10000 1 uncached bitmapscan 155.392
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 256 10000 1 uncached bitmapscan 265.654
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 512 10000 1 uncached bitmapscan 361.024
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 1024 10000 1 uncached bitmapscan 510.879
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 2048 10000 1 uncached bitmapscan 210.116
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 4048 10000 1 uncached bitmapscan 213.199
