  device   |  rows   |   dataset   | relpages | workers |  wm   | eic | nmatches | ndistinct |  caching  |  optimal   | cnt_master |    timing_master     | cnt_p1 |      timing_p1       | cnt_p2 |      timing_p2       | cnt_p3 |      timing_p3       | cnt_p4 |      timing_p4       
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |   124.94200000000001 |      3 |              122.142 |      3 |   122.52233333333334 |      3 |   247.35966666666664 |      3 |   250.24466666666663
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 | 65536 |   1 |      112 |       100 | uncached  | seqscan    |          3 |   115.07800000000002 |      3 |   120.75066666666667 |      3 |   115.61833333333333 |      3 |   237.46133333333333 |      3 |    225.7703333333333
 raid-nvme | 1000000 | uniform     |    41667 |       4 |   128 |   1 |     6048 |     10000 | uncached  | seqscan    |          3 |   109.07966666666665 |      3 |   103.23666666666666 |      3 |               110.96 |      3 |   230.02700000000002 |      3 |   221.31566666666666
 raid-nvme | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |   122.77033333333334 |      3 |              114.753 |      3 |   123.70666666666666 |      3 |   243.64499999999998 |      3 |   229.15933333333336
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |     2048 |     10000 | uncached  | bitmapscan |          3 |   103.56333333333333 |      3 |               104.45 |      3 |              108.841 |      3 |              224.069 |      3 |              228.126
 raid-nvme | 1000000 | cyclic      |    41667 |       4 | 65536 |   1 |       52 |       100 | uncached  | seqscan    |          3 |   126.38533333333334 |      3 |   120.78500000000001 |      3 |   118.35700000000001 |      3 |   246.62266666666665 |      3 |   283.55199999999996
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |     6048 |     10000 | uncached  | seqscan    |          3 |   109.52233333333334 |      3 |   110.61066666666666 |      3 |   104.11566666666666 |      3 |    229.6236666666667 |      3 |   242.34033333333332
 raid-nvme | 1000000 | uniform     |    41667 |       4 |   128 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |   100.51266666666668 |      3 |   107.16466666666666 |      3 |   111.19166666666666 |      3 |   220.13733333333334 |      3 |              227.446
 raid-nvme | 1000000 | cyclic      |    41667 |       4 |  4096 |   1 |      112 |       100 | uncached  | seqscan    |          3 |   117.75233333333334 |      3 |              116.788 |      3 |   113.29066666666667 |      3 |   235.80566666666664 |      3 |   240.24966666666668
 raid-nvme | 1000000 | linear      |    41667 |       4 |  4096 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |    88.63366666666667 |      3 |    95.78066666666666 |      3 |    96.31033333333333 |      3 |   204.85333333333335 |      3 |   212.82766666666666
 raid-nvme | 1000000 | cyclic      |    41667 |       4 | 65536 |   1 |       92 |       100 | uncached  | seqscan    |          3 |   117.41666666666667 |      3 |   118.17966666666666 |      3 |   126.64233333333334 |      3 |              231.817 |      3 |   236.19766666666666
 raid-nvme | 1000000 | linear      |    41667 |       4 |   128 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |    94.59566666666667 |      3 |    94.33466666666665 |      3 |    93.04200000000002 |      3 |   208.45566666666664 |      3 |              194.376
